metric,direction,method,average_rank,rank_std
Final_F1_IV,min,Knowledge-constrained NSGA-II,1.2666666666666666,0.691491807283521
Final_F1_IV,min,NSGA-II,2.566666666666667,0.7279320417946062
Final_F1_IV,min,NSGA-III,2.466666666666667,0.7760791522613609
Final_F1_IV,min,MOEA/D,3.7,0.7022132498578064
Final_F2_DEG,min,Knowledge-constrained NSGA-II,1.3,0.7497125886079554
Final_F2_DEG,min,NSGA-II,2.3333333333333335,0.6064784348631227
Final_F2_DEG,min,NSGA-III,2.4,0.6746646676632054
Final_F2_DEG,min,MOEA/D,3.966666666666667,0.1825741858350553
Final_F3_CTA,min,Knowledge-constrained NSGA-II,2.6666666666666665,1.124441112772009
Final_F3_CTA,min,NSGA-II,2.3666666666666667,1.0980651740387644
Final_F3_CTA,min,NSGA-III,2.533333333333333,1.166584561971349
Final_F3_CTA,min,MOEA/D,2.433333333333333,1.1351236704106018
Average_objective,min,Knowledge-constrained NSGA-II,1.9666666666666666,1.0980651740387641
Average_objective,min,NSGA-II,2.4,0.9684683962230046
Average_objective,min,NSGA-III,2.6333333333333333,1.0980651740387641
Average_objective,min,MOEA/D,3.0,1.1141720290623112
HV,max,Knowledge-constrained NSGA-II,1.05,0.2012889499682244
HV,max,NSGA-II,2.6,0.7119666788018508
HV,max,NSGA-III,2.75,0.5981292675414364
HV,max,MOEA/D,3.6,0.8136762043449726
IGD,min,Knowledge-constrained NSGA-II,1.1333333333333333,0.507416263404925
IGD,min,NSGA-II,2.7666666666666666,0.7279320417946061
IGD,min,NSGA-III,2.533333333333333,0.7302967433402215
IGD,min,MOEA/D,3.566666666666667,0.8172001541568765
PAM,min,Knowledge-constrained NSGA-II,1.0,0.0
PAM,min,NSGA-II,2.566666666666667,0.6260623155792927
PAM,min,NSGA-III,2.7,0.651258728182957
PAM,min,MOEA/D,3.7333333333333334,0.6396838299494921
